Lecture #,Reflection Text,native speaker,age,ethnicity,gender,course_anonyID,semester
12,"honestly everything was pretty clear today! maybe the lightning part could have been a little more clear, but if you were really paying attention it made sense!",Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
12,"The only thing I felt was kind of confusing was charge density. In lecture, you said that current density and the electric field went in opposite directions and I found that slightly perplexing.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
12,"The only thing I felt was kind of confusing was charge density. In lecture, you said that current density and the electric field went in opposite directions and I found that slightly perplexing.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
12,What the units represented in the context of each other.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,Simplifying circuit diagrams by re-orienting capacitors is still a bit unclear to me when there are many different branches involved.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,Deciding between parallel and series,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,Deciding between parallel and series,,,,,phys_0,semester_2
12,"I thought that it was a little confusing why in the 1st example you performed you added the non matching capacitance (C3) with C2 and plugged that into the expression. and on our sapling concept quiz, we instead used expression (C1*C2)/(C1+C2)+ C3.  why were we allowed to do that for that problem and not this one? genuinely confused.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,I was confused about how you know when capacitors are in parallel with each other.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,The equation for Fnet using drift velocity,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
12,"I'm having trouble conceptualizing and visualizing these topics so examples and explanations of concepts would help. Also, how is electric current/density acts in insulators",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,The difference in using the formula c1*c2/c1+c2 vs using the equation for parallel capacitance or series capacitance confuses me a bit on the concept quiz.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,I found it confusing defining what C equivalence was.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
12,I thought the fact that saltwater has less resistivity than freshwater was the most interesting!,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
12,"I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn’t supposed to be part of our lesson.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
12,"I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn’t supposed to be part of our lesson.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
12,The circuit problems were enlightening.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,"Solving for the time it takes for electrons to move from a car battery to the starter motor and understanding that the result does not need to be a small number in order for the car to start, since there is still a lot of current flowing to the the motor.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,Drift velocity and current resistance,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,Drift velocity and current resistance,,,,,phys_0,semester_2
12,I thought it was interesting creating the series scenarios. It’s sort of engaging cresting your own picture of a circuit.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,I found it interesting that capacitances can be added to get Ceq.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,Calculating capacitance in circuits,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
12,"How the current ""flows""through a conductor",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
12,We can calculate the numeric value of complicated electrical concepts in physics.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
12,I found it interesting how we are now drawing our circuits in series and parallel. Itvs interesting to see how electricity works in the real world.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
13,Re-drawing and simplifying circuits is still a bit confusing,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I think find emf and voltage difference could be gone over a little more. Maybe an example with a diagram instead of graph would benefit us more conceptually,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,I found the example of discharging a real battery a bit confusing as it is hard to recognize R and r.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,"I thought the examples at the end of the cuvids for the first set were a little confusing, I wasn’t sure how the equations were derived",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,The conceptual tophat questions about current vs voltage were most confusing for me because I don’t fully understand the relationship between the two.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,Trying to figure out if things are in series or parallel,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,Trying to figure out if things are in series or parallel,,,,,phys_0,semester_2
13,I’d say power was the most confusing part.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,Relating delta V=emf to delta V=IR,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
13,I found it confusing how and what resistors actually do.  I find it confusing because I am doing calculations and finding numbers but don’t know what they do.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
13,"More examples and discussion of differences between conductors, semiconductors etc",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I was confused about how you can tell when resistors are in parallel/series,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,"It wasn’t confusing, but I think going over Ohm’s law and when you can and can’t use it would be helpful",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,the relationship between the internal voltage of a battery vs. the external voltage.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,All of the different ways to use Ohm’s Law by rearranging the equation,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I thought it was nice at how easy calculating resistance was after proving with algebra that the resistors in series can just be additively calculated,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,The fact that batteries actually have more volts than displayed as it loses it over time is interesting.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,"I thought it was interesting how batteries have their own resistance inside, ajd how this resistance changes with time",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I found the practice problems most interesting because we went in depth with problem solving and I feel like it well help me prepare for the exam,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,Power and how it relates to resistors,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,Power and how it relates to resistors,,,,,phys_0,semester_2
13,The circuits in general are interesting.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
13,Solving for total resistance,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
13,I found it interesting how we are drawing circuits out. Also I found it interesting how we are starting to calculate how circuits work.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
13,Applying physics concepts to real life applications,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I found it interesting that current is constant when resistors are in series.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,I thought the resistors in series and parallel was really interesting in that the total resistance is like finding voltage but flipped,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
13,the relation to energy and the combination of many past concepts,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,"some of the ideas about grounding were confusing, especially with the top hat, but i think i have the general  idea that a grounded circuit has a voltage drop of 0.",Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
14,The conceptual questions during class were the hardest for me to understand because I kept getting the wrong.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,Current for the last top hat circuit question that was graded,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,It was really hard to understand the currents and why they were going in the direction they were,,,,,phys_0,semester_2
14,How grounding two points “connects” them as if there were a single wire connecting them,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,Problem 27.54 with the car motor problem was confusing. I did not understand what the starting motor does. Does it withdraw or add voltage? Does it act as a resistor or a battery? Otherwise your lectures were clear and concise as always.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
14,Problem 27.54 with the car motor problem was confusing. I did not understand what the starting motor does. Does it withdraw or add voltage? Does it act as a resistor or a battery? Otherwise your lectures were clear and concise as always.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
14,"conceptually, I was a little confused how you can have a ground before a resistor, making the voltage zero, and that doesn’t impact the energy continuing on. Mathematically I can see why this is true, but conceptually it’s a bit confusing.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,"Today‘s lecture was pretty good. I felt that I understood everything well, and I had no difficulty with the content.",No,18 - 22 years,Asian American,Male,phys_0,semester_2
14,Finding the emf was confusing.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,Figuring out how grounding will affect the potential,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,Figuring out how grounding will affect the potential,,,,,phys_0,semester_2
14,Re-drawing circuit diagrams with grounds seems  to get complicated when multiple branches and resistors/capacitors are involved.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,I found grounding to be very confusing; what does it mean for a circuit to be grounded?,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
14,why it is useful to have a reference point. i am confused about what exactly delta V is,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,The most confusing thing for me was when we went over the 2 different cases of grounding. I just found it confusing when going over the formulas like whether to add or subtract Ir,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,I was confused about when to add or subtract IR. Can we do an example in class?,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,"The only thing that confuses me slightly is the sign associated with I*R when going in the flow of charge vs against the flow of charge. Also, how would we determine where the charge flows?",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,More examples of simplifying circuits would be helpful and a bit more explanation about grounding,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,"i liked that no matter which path you took to find current in a circuit, you’ll get the same value.",Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
14,The computer circuit was the most interesting part of class today because I would never be able to understand that in my life.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,Grounding and how it changes the calculation for current,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,I found the part where the professor left the class as funny. It really gave us all a break in the middle,,,,,phys_0,semester_2
14,Current here split up when you add grounded points to a circuit,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,I thought your explanation of ammeters and voltmeters was very well done. This topic that was previously confusing to me in high school is now much clearer. I thought it was interesting thinking about how current runs through a wire and why each of these have to have very different resistances.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
14,I thought your explanation of ammeters and voltmeters was very well done. This topic that was previously confusing to me in high school is now much clearer. I thought it was interesting thinking about how current runs through a wire and why each of these have to have very different resistances.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
14,I’ve used multimeters before. But never considered that just measuring would impact the circuit itself so your reading will never be 100% true. Was just a little interesting and never thought about it before. since the meter will just extend the circuit and draw some energy.  neat.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,I found the videos explaining the concepts most interesting.,No,18 - 22 years,Asian American,Male,phys_0,semester_2
14,The grounding was very interesting.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,How ammeters and voltmeters play a role in circuits,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,How ammeters and voltmeters play a role in circuits,,,,,phys_0,semester_2
14,Learning how voltmeters are able to get accurate voltage readings without leaking much current out of the circuit by being connected in parallel with resistors/capacitors.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,Learning the paths circuits take and what way the current flows I found to be very interesting. It’s cool to see how current flows in real wires and in real life.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
14,i thought that the applications of grounding and how that could simplify complicated circuits was interesting,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,"I thought the ammeter and voltmeter were the most interesting part, especially after the concept quiz and seeing how the voltmeter was the emf",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,I thought it was interesting that all grounded points are connected to each other.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
14,The amount of info we can determine from a simple circuit with proper analysis is very cool.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
14,How you can use instruments to measure voltage and current and how these instruments can affect these values,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,The circuits and how they decide evenly,,,,,phys_0,semester_2
15,The practice problem with the current through resistor 3 needs more details in today’s class because it was confusing to find the currents with linear algebra,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,Cramer’s rule and matrices,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,the differential equation portion involving RC circuits was a little confusing. Another example would be very much helpful for a lot of us I think.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,The loops were very confusing.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I am still struggling with the loop rule and the junction rule. I think they make sense conceptually but are confusing when trying to apply them,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,Understanding the loop rule and how to do certain calculations with it,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,Understanding the loop rule and how to do certain calculations with it,,,,,phys_0,semester_2
15,"I honestly didn’t really find anything confusing. Everything just made sense, however it did help that I am currently in my differential equations class, and I had a really strong foundation of physics 1 to help with the magnetic field concepts.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,The relationship of the time constant to voltage and current. What value(s) does it change by 63%? What variable has the most impact on RC?,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I’m confused by the complexity of having multiple loops in circuits. When do you use the loop rule?,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I was confused about how to use a calculator to solve matrices.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,I was confused on how to solve for matrices and determinants using my calculator.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,"Concept quiz 16 question 1 was confusing, why do you add the voltages?",Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
15,Setting up multi loop circuits and determining the components,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,"I find the orientation of magnetic fields very confusing. I'm not sure how to tell if it should be pointing in or out of the page, why it is always in the positive or negative k direction, or how it affects which direction a particle will circle in.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I found it confusing how to construct loops and how they work. I also found putting the loops together and calculating for the overall circuit confusing as well.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
15,The lost interesting thing is the video demonstrations,,,,,phys_0,semester_2
15,I found the balloon tophat question most interesting about today’s class because I thought too hard about it at first and once it was explained it was an “ah” moment,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,The equation for magnetic fields on point charges,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
"15.0[[[[[[[[[[[0-------------99999999999999999999999999999999999999999999-'""""]]]]]]]]]]]",I thought it was really interesting that capacitors ALL charge at the same “rate” which is RC seconds. Also found it interesting that capacitors are never fully charged. the graph was a good representation of this since I feel most of us are very familiar what an asymptote is and what it represents as a graphical function,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,The rc time unit was interesting.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I really like that magnetic field lines follow the same rules as electric field lines. I also like that magnetic monopoles haven’t been discovered!,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,How you can split up multi loop circuits into separate branches,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,How you can split up multi loop circuits into separate branches,,,,,phys_0,semester_2
15,"I really enjoyed writing the circuit equations in terms of one another and then forming differential equations. On top of already enjoying this unit, I really like this kind of math as well",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,It was neat how we used the very basic loop rule to build up to a separable differential equation that solves q(t).,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,It’s interesting how electrons move in circular motion around a magnetic field. Also it is interesting how many times we use the cross product.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I found it interesting that magnetic fields are so similar to electric fields.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,I think it is interesting how the graphs of charging and discharging a capacitor are able to tell us a lot,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,Direction of vectors,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
15,How the magnetic field acts,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
15,Magnetism's ability to affect a charge.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
15,I found it interesting how we are calculating the voltage and charges for real life circuits.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
16,"Generally speaking, all the concepts were straight forward and made sense. But for some reason, I’m still struggling to apply them to actual problems. The problem that comes to mind for is the railgun scenario.",Yes,18 - 22 years,Black or African American,Male,phys_0,semester_2
16,"Generally speaking, all the concepts were straight forward and made sense. But for some reason, I’m still struggling to apply them to actual problems. The problem that comes to mind for is the railgun scenario.",Yes,18 - 22 years,Black or African American,Male,phys_0,semester_2
16,I thought everything was explained fairly well and i thought the examples that were went over were helpful.,Yes,18 - 22 years,Hispanic or Latin American,Female,phys_0,semester_2
16,i was confused with the right hand rule and how that works,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,The right hand rule concept questions were most confusing for me in class today because I got all of them wrong and could not figure out what I was doing wrong.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,I think the potential for varying equations needs touched upon a little more. was a little confusing when were jumping from current applications then to just electric fields.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,"Good lecture, slightly complicated equations that I found confusing. I was confused as to why we learned such topic specific formulas.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
16,"Good lecture, slightly complicated equations that I found confusing. I was confused as to why we learned such topic specific formulas.",Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
16,I found the sections on torque and Magnetic dipole moments to be confusing. I have trouble visualized the effect of the magnetic field for torque problems.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,Figuring out what direction the current will go (right hand rule),Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,Figuring out what direction the current will go (right hand rule),,,,,phys_0,semester_2
16,I think it is confusing using the right hand rule to find the directions of variables.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,Drawing the triangle using ILBsin@,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
16,"I don’t think the lectures were particularly confusing at all. The most confusing thing was trying to find the direction of the force for the concept quiz, but we talked about the right hand rule in the lectures",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,I don’t understand whats causing electrons to move towards a B field or an E field.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,"I am a little confused on how to use the right hand rule when trying to find force of the magnetic field when given length, current, and magnetic field.",Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,Some of the applications were a little hard to follow—what are some real world examples?,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,More examples especially with visualizing the problem would be helpful,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,"One thing that is a bit confusing is finding the number of charge carriers. We know that the electrons are attracted to the side of a metal sheet with width l, but how do we know that number of charge carriers doesn’t occasionally go to the side?",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,I found it confusing how to and when to use the equations you gave us. I also found it confusing how to calculate the potential energy for magnetic dipole moments.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
16,"Despite me not understanding it the best, I still found the railgun explanation to be an interesting  application of magnetism and electricity.",Yes,18 - 22 years,Black or African American,Male,phys_0,semester_2
16,"Despite me not understanding it the best, I still found the railgun explanation to be an interesting  application of magnetism and electricity.",Yes,18 - 22 years,Black or African American,Male,phys_0,semester_2
16,What I found most interesting was the ability to manipulate multiple equations when the magnetic force is equivalent to the electric force.,Yes,18 - 22 years,Hispanic or Latin American,Female,phys_0,semester_2
16,i love the right hand rule for figuring out which way forces go,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,I struggled a lot in today’s class so I genuinely found everything very difficult instead of interesting since I spent most of my time in class today trying to understand what I was doing wrong instead of what the material was actually trying to teach me. The loop practice problem was interesting though.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,I thought the idea that the physics of electrons and how they migrate to one side instantaneously and then use equilibrium to continue upward was interesting,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,I thought the mass spectrometer was very interesting. It was interesting seeing the electric field and how it worked.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
16,I thought the mass spectrometer was very interesting. It was interesting seeing the electric field and how it worked.,Yes,18 - 22 years,Hispanic or Latin American,Male,phys_0,semester_2
16,All the real world applications of the magnetic force and how it can be used in relation with so many old topics from this class.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,Mass spectrometers and how they work,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,Mass spectrometers and how they work,,,,,phys_0,semester_2
16,It is interesting how many applications there are for magnetic force such as Thompson’s apparatus,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,Solving for magnetic force using current,Yes,18 - 22 years,Asian American,Female,phys_0,semester_2
16,I found the mass spectrometer interesting! I’m a bio major so I’ve used mass spectrometry a few times but have never really been explained how it worked past the fact that there was a detector,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,I really liked learning about the mass spectrometer. I didn’t ever realize just how prominently magnetic fields were used,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,I found it interesting that electrons move in the opposite direction of current.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,The similarities between the dipole moment equations from earlier in the class and the magnetic dipole moment equations,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,How you can thing of the magnetic force most other forces,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
16,"I find it interesting that the many different applications were discovered so long ago before modern electricity. I mean, 1879 is very long ago and the modern lightbulb was only invented in the 1900’s which isn’t very long ago.",Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
16,I found it interesting how we are finding magnetic field magnitudes and.,Yes,18 - 22 years,Prefer not to disclose,Male,phys_0,semester_2
17,The direction concept questions on tophat were the most confusing part of class today because I thought I had the right and rule down but I guess I don’t.,Yes,18 - 22 years,White or European American,Female,phys_0,semester_2
17,i am still confused about the right hand rule and how to use it.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
17,Some of the integration techniques used in both laws,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
17,was a little just confused why the constant of mew0 has a 4pi value when you just divide by 4pi anyhow. a little interested what the point is!,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
17,Ampere’s law was confusing.,Yes,18 - 22 years,White or European American,Male,phys_0,semester_2
