generation,oracle
"Circuit analysis
The circuits in general are interesting.
Power and how it relates to resistors
The fact that batteries actually have more volts than displayed as it loses it over time is interesting.
electromotive force was really interesting","All of the different ways to use Ohm's Law by rearranging the equation
I thought it was nice at how easy calculating resistance was after proving with algebra that the resistors in series can just be additively calculated
I found it interesting how we are drawing circuits out. Also I found it interesting how we are starting to calculate how circuits work.
Power and how it relates to resistors
Applying physics concepts to real life applications"
"Examining electricity in motion is reaply interesting after looking at it static for so long
How the current ""flows""through a conductor
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson.
I thought it was interesting creating the series scenarios. It's sort of engaging cresting your own picture of a circuit.
Drift velocity and current resistance","I found it interesting how we are now drawing our circuits in series and parallel. Itvs interesting to see how electricity works in the real world.
How the current ""flows""through a conductor
Calculating capacitance in circuits
We can calculate the numeric value of complicated electrical concepts in physics.
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson."
"I liked learning about the values of the different kinds of materials like air and paper, etc.
Dielectric strength of air explaining how much electric field is needed for lightning to strike
The dielectric strength of a vacuum blew my mind.
I thought that the dielectrics were very cool just because it seems like it is going beyond just math. The concept of a circuit with a battery was also interesting.
I found it interesting that dielectrics can change capacitance.","Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
Parallel plate capacitors seemed to make the most sense
I liked learning about the values of the different kinds of materials like air and paper, etc.
Applying learned concepts to a more real world situation and seeing how it works/functions
I found it interesting how we are now drawing circuits with batteries capacitors and switches and relating it to the equations we used in class."
"The way the magnitude is multiplied by two or is zero based off of arrows in problems.
I was confused how to calculate the direction of the area vector.
Maybe more into detail reg the choosing of Gaussian surface?
The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell.
This lesson was so much clearer to understand than my high school lesson on flux. It was neat how you tied together both flux and gauss's law seamlessly. I had a really tough time last year trying to understand gauss's law.","In the example problem, you would pull numbers and I was not sure where the numbers would be from. Could you be more clear on where these numbers would be coming from in class?
Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out.
I found the whole concept of flux very unclear. I didn't really grasp it on the fundamental level and the mathematical interpretation of the concept doesn't make sense to me.
I was confused how to calculate the direction of the area vector.
The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell."
"I liked the electric flux portion of the lecture this week. I liked reading the diagrams and solving for the charge in the example with the box.
I found GaussIan surfaces pretty interesting since you can draw a shape and then make solving Gauss' law easier to solve.
I find it interesting that such a complex value like flux can be measured by a dot product and not a more complicated calculus method.
I found out that Gauss's law is just flux over an imaginary shape, like a potato. I think this helped clear up much of my confusion.
How we can use field lines to determine the charge of a surface","I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance.
I found Faraday cages cancelling out external electric fields very interesting. It was also neat how the internal cap of a cylinder imbedded in a conductor has no flux, but the external end does.
I found Gauss's Law interesting based on the fact that it can simplify a very difficult problem
I thought it was interesting how we can prove the equation for E is correct by doing some math.
I found it interesting that an electric field can flow through a surface. I also found it interesting that you can calculate the charge enclosed in an area"
"Much was very thorough and clear. I had some issues understanding the diagrams at first, not sure why. Seems a few others were confused with how to interpret the diagram as well. Nevertheless, it was a good self problem solving period. and when the prof explained, it was clear and well executed. I understood more being confused and then being enlightened and shown how the diagram was supposed to represent the particles and their charges. furthermore, after the first diagram it seemed like I felt I was absorbing s a lotmore from the concepts you were trying to get through to us.
n/a
I really didn't understand the second top hat question with the two particles that were repelling eachother and then a third particle touches both of them respectively. I know how the first particle touches the third particle so it's q value and the first particles q value are halved. I also know how the second particle touches the third particle and doing (1/2+1)/2 is 3/4 for both particles. I just didn't know where to go from there to solve for F' or F because I didn't know what it defined as F' and F. You probably mentioned it though and it just went too quickly for me.
Overall, today's class was really good! I thought that each tophat question was well explained. I was a little confused with some of the math steps you took in simplifying, because you never showed any conversions, but the whole concept was clear.
In today's class the Shell theorem was very confusing to me. I did not understand how it works.","In today's class the Shell theorem was very confusing to me. I did not understand how it works.
What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb.
I thought that everything was very clear, however I felt that some of the time given for the TopHat questions was insufficient. There were multiple times where I scrambled to put in an answer that ended up being wrong because I was one or two steps away from the right answer but didn't have time to finish the problem.
The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
I think the example pertaining to the charges arranged in a square was a little confusing. Particularly deriving the r value."
"Top hot conceptual questions
The tension problems, especially the part with all the salami.
The tug of rope scenario. This was interesting because the tension between the two pullers depends on both not just the stronger one.
In today's video, I found the tension in the ham and tug-o-war the most interesting. It was cool to find out that the tension is the same for the hams
How the wrench in the spaceship keeps moving in the same direction as long as nothing acts upon it. All the problems that went along with the wrench","I found most of the top hat questions interesting and I feel like they help solidify the concepts that we are going over 
 I found the tension problems to be the most interesting because I was able to understand them more after the lecture. 
 I found inertial reference frames most interesting in this lecture and how they compare to non inertial reference frames.
free body diagrams make sense to me because it is easy to draw the lines and i am familiar with them already
I found Newton's first law very interesting. Being able to apply real life experiences such as car travel to physics is fun."
"The equation was confusing a little bit.
I think that today's class was well explained and very clear. I think my group is struggling due to a group member missing class this week.
Nothing was confusing in today's class.
Everything was clear.
Nothing! I feel like you explained everything very well!","Some of the requirements on the A13 pdf were a little confusingattimes. I was confused on what information I needed and where to putit. ATA was very helpful in explaining what I needed to do.
I do not know how to compute the three year pay back period for Assignment 13.
The most confusing part was calculating coal co2 emissions.
The equation presented was confusing and could have been explained a little more 
 Capital investment equation when do we know when to leave out certain numbers"
"Seeing which types of plots were used for different sets of data was interesting.
I liked the fact that we were given time to work during the class. Usually classes are really fast, and this slows it down and allows better understanding ( for me)
In class I most enjoyed going out into break out rooms because I was able to learn from my peers and collaborate on the assignments given to us
Identifying the correct chart to use based on data sets
The formatting of the graphs in excel was interesting. I learned a lot about how to use the program.","The most interesting thing in todays class was learning more about what charts are the most appropriate during certain situations.
The opportunity to learn about other engineering careers was interesting 
Getting to know my engineering team on a better basis was definitely the most interesting part of class. Spending more time in breakout rooms would be helpful.
 I felt like I really learned a lot in class today, especially what makes a good client statement.
 I found interesting/important how the professor explained things on bright space and upcoming due dates."
"Overall today's class was very smooth and helpful. I did not think anything was confusing or needed more details. The instructions were very straightforward.
I would have liked to know more about how the projects would generally work, especially in this new environment. I also would have liked more information on our upcoming assignments because, at least to me, I felt I was dropped into a situation of researching a company and going through their data without any idea of how to do it properly because this would be my first time attempting anything like this, especially without prior instruction and/or examples to guide me or at the very least tell me how I can do something “right”.
Overall I found everything fine, the only thing confusing was the coursemirror app setup but that is now resolved.
The organization of the homework and class schedule throughout the semester was unclear and Brightspace is a little hard to navigate when searching for due dates and assignments. If more details could be given about using Brightspace, where things will be, and it would be easier to proceed smoothly throughout the class.
The only problem was accessing CourseMIRROR.","I'm still a little confused about when assignments are due and what we are responsible for before next class?
The schedule and process that each class is going to follow. Its confusing how we will go between activities and work time.
The question about drawing an engineer in ten years. It was a very vague question that gave little direction 
The only problem was accessing CourseMIRROR
Brightspace is a little hard to navigate when searching for due dates and assignments"
