generation,oracle
"All of the different ways to use Ohm's Law by rearranging the equation
Ohms law
Circuit analysis
I thought it was interesting how batteries have their own resistance inside, ajd how this resistance changes with time
I found it interesting that current is constant when resistors are in series.","All of the different ways to use Ohm's Law by rearranging the equation
I thought it was nice at how easy calculating resistance was after proving with algebra that the resistors in series can just be additively calculated
I found it interesting how we are drawing circuits out. Also I found it interesting how we are starting to calculate how circuits work.
Power and how it relates to resistors
Applying physics concepts to real life applications"
"I thought the fact that saltwater has less resistivity than freshwater was the most interesting!
The circuit problems were enlightening.
I found the parallel capacitors interesting because you are able to combine capacitors together when they are parallel to each other
Examining electricity in motion is reaply interesting after looking at it static for so long
Resistivity of uniform wire","I found it interesting how we are now drawing our circuits in series and parallel. Itvs interesting to see how electricity works in the real world.
How the current ""flows""through a conductor
Calculating capacitance in circuits
We can calculate the numeric value of complicated electrical concepts in physics.
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson."
"The use of a switch board, batteries, and all those things are confusing but are very interesting! Also it is getting harder to write these.
Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
I found it interesting that dielectrics can change capacitance.
How different materials change epsilon naught was interesting.
Applying learned concepts to a more real world situation and seeing how it works/functions","Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
Parallel plate capacitors seemed to make the most sense
I liked learning about the values of the different kinds of materials like air and paper, etc.
Applying learned concepts to a more real world situation and seeing how it works/functions
I found it interesting how we are now drawing circuits with batteries capacitors and switches and relating it to the equations we used in class."
"The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell.
Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out.
Maybe more into detail reg the choosing of Gaussian surface?
I found the whole concept of flux very unclear. I didn't really grasp it on the fundamental level and the mathematical interpretation of the concept doesn't make sense to me.
The integral equation. I think more examples would help","In the example problem, you would pull numbers and I was not sure where the numbers would be from. Could you be more clear on where these numbers would be coming from in class?
Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out.
I found the whole concept of flux very unclear. I didn't really grasp it on the fundamental level and the mathematical interpretation of the concept doesn't make sense to me.
I was confused how to calculate the direction of the area vector.
The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell."
"I found Faraday cages cancelling out external electric fields very interesting. It was also neat how the internal cap of a cylinder imbedded in a conductor has no flux, but the external end does.
I liked the electric flux portion of the lecture this week. I liked reading the diagrams and solving for the charge in the example with the box.
I find it interesting that such a complex value like flux can be measured by a dot product and not a more complicated calculus method.
I found GaussIan surfaces pretty interesting since you can draw a shape and then make solving Gauss' law easier to solve.
I found out that Gauss's law is just flux over an imaginary shape, like a potato. I think this helped clear up much of my confusion.","I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance.
I found Faraday cages cancelling out external electric fields very interesting. It was also neat how the internal cap of a cylinder imbedded in a conductor has no flux, but the external end does.
I found Gauss's Law interesting based on the fact that it can simplify a very difficult problem
I thought it was interesting how we can prove the equation for E is correct by doing some math.
I found it interesting that an electric field can flow through a surface. I also found it interesting that you can calculate the charge enclosed in an area"
"n/a
Much was very thorough and clear. I had some issues understanding the diagrams at first, not sure why. Seems a few others were confused with how to interpret the diagram as well. Nevertheless, it was a good self problem solving period. and when the prof explained, it was clear and well executed. I understood more being confused and then being enlightened and shown how the diagram was supposed to represent the particles and their charges. furthermore, after the first diagram it seemed like I felt I was absorbing s a lotmore from the concepts you were trying to get through to us.
The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
Overall, today's class was really good! I thought that each tophat question was well explained. I was a little confused with some of the math steps you took in simplifying, because you never showed any conversions, but the whole concept was clear.
I really didn't understand the second top hat question with the two particles that were repelling eachother and then a third particle touches both of them respectively. I know how the first particle touches the third particle so it's q value and the first particles q value are halved. I also know how the second particle touches the third particle and doing (1/2+1)/2 is 3/4 for both particles. I just didn't know where to go from there to solve for F' or F because I didn't know what it defined as F' and F. You probably mentioned it though and it just went too quickly for me.","In today's class the Shell theorem was very confusing to me. I did not understand how it works.
What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb.
I thought that everything was very clear, however I felt that some of the time given for the TopHat questions was insufficient. There were multiple times where I scrambled to put in an answer that ended up being wrong because I was one or two steps away from the right answer but didn't have time to finish the problem.
The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
I think the example pertaining to the charges arranged in a square was a little confusing. Particularly deriving the r value."
"I liked the alien and spaceship top hat question that depends on your reference and how it can relate to being in a car.
I love the conceptual topics of Newton's Laws. I especially found tension interesting.
I found the tension problems to be the most interesting because I was able to understand them more after the lecture.
The tension problems, especially the part with all the salami.
The tug of rope scenario. This was interesting because the tension between the two pullers depends on both not just the stronger one.","I found most of the top hat questions interesting and I feel like they help solidify the concepts that we are going over
I found the tension problems to be the most interesting because I was able to understand them more after the lecture.
I found inertial reference frames most interesting in this lecture and how they compare to non inertial reference frames.
free body diagrams make sense to me because it is easy to draw the lines and i am familiar with them already
I found Newton's first law very interesting. Being able to apply real life experiences such as car travel to physics is fun."
"The applications of payback periods and capital investment could have been covered more.
The most confusing part of today's class was trying to determine CO2 emissions and natural gas for the library.  Trying the determine the amount of coal required to produce enough energy was confusing as there are multiple conversions you need to do before you get to the right value.
I feel like everything in class today was very straightforward. The economic calculations seemed very easy to me and I can understand it pretty well.
Nothing was confusing in today's class.
The equation was confusing a little bit.","Some of the requirements on the A13 pdf were a little confusingattimes. I was confused on what information I needed and where to putit. ATA was very helpful in explaining what I needed to do.
I do not know how to compute the three year pay back period for Assignment 13.
The most confusing part was calculating coal co2 emissions.
The equation presented was confusing and could have been explained a little more
Capital investment equation when do we know when to leave out certain numbers"
"I think that the professors and PTs did a good job explaining the projects and the due dates.
Excel graphs
Seeing which types of plots were used for different sets of data was interesting.
I did find interesting the different reasons to use different graphs and the graphic you used will be very helpful.
The formatting of the graphs in excel was interesting. I learned a lot about how to use the program.","The most interesting thing in todays class was learning more about what charts are the most appropriate during certain situations.
The opportunity to learn about other engineering careers was interesting
Getting to know my engineering team on a better basis was definitely the most interesting part of class. Spending more time in breakout rooms would be helpful.
I felt like I really learned a lot in class today, especially what makes a good client statement.
I found interesting/important how the professor explained things on bright space and upcoming due dates."
"I didn't find the class today confusing. Everything was explained specifically and helpfully. I found the class to be interactive and helped me to understand what will be required to succeed in the class.
Everything was clear in today's lecture. Instructions were clear, explanations were clear as well.
There was nothing confusing in the class as it was the first. I think the BikeShare project was given sufficient detail and I feel like I can complete it nicely.
Overall I found everything fine, the only thing confusing was the coursemirror app setup but that is now resolved.
The question about drawing an engineer in ten years. It was a very vague question that gave little direction","I'm still a little confused about when assignments are due and what we are responsible for before next class?
The schedule and process that each class is going to follow. Its confusing how we will go between activities and work time.
The question about drawing an engineer in ten years. It was a very vague question that gave little direction
The only problem was accessing CourseMIRROR
Brightspace is a little hard to navigate when searching for due dates and assignments"
