generation,oracle
"The conservation of energy question was very tricky. I was indecisive between the correct answer and the “difference in charge” answer, so I felt that I learned the most from this question.
I found the demonstration done to show the lightbulb lighting was very interesting because of the separation of charges.
Energy conservation in particle physics with a gamma ray photon being split into an electron and positron was very intriguing since I've never learned much about gamma rays in the past.
I found it interesting how similar electric force is to gravitational force.
Electric charge properties","I thought the demonstration with the lightbulb was fun to watch. It gave me a visual representation of what was happening.
i really like learning about the electric charges and i like learning about electrons after taking so many chemistry classes
Energy conservation in particle physics with a gamma ray photon being split into an electron and positron was very intriguing since I've never learned much about gamma rays in the past.
I found it interesting how similar electric force is to gravitational force.
The amount of interaction we were able to have with you as an instructor and in breakout rooms was interesting."
"The concept quiz question
I am still confused about the direction of electrons in a magnetic field
Cramer's rule and matrices
Magnetic fields and discharging capacitors
Concept quiz 16 question 1 was confusing, why do you add the voltages?","Concept quiz 16 question 1 was confusing, why do you add the voltages?
the differential equation portion involving RC circuits was a little confusing. Another example would be very much helpful for a lot of us I think.
I was a bit confused with the loop rule and multi loop circuits. I had trouble on the concept quiz so I think seeing some more examples being solved would help me.
I was confused about how to use a calculator to solve matrices.
I find the orientation of magnetic fields very confusing. I'm not sure how to tell if it should be pointing in or out of the page, why it is always in the positive or negative k direction, or how it affects which direction a particle will circle in."
"The planar electric field being constant
The return of the shell theorem to explain a more complicated concept
the different types of symmetry
I found it interesting that when we use symmetry for an infinite plane, the electric field is a constant.
Today's lecture was very interesting. It showed how Gaussian symmetry in different shapes were similar.","The planar electric field being constant
Today's lecture was very interesting. It showed how Gaussian symmetry in different shapes were similar.
I think it's interesting how the shell theorem can be used in physics
I found it neat and helpful that drawing a Gaussian surface around or through certain objects with uniform surface charge makes finding E on the object much easier. However knowing how to orient the Gaussian surface seems a bit difficult in some situations.
I thought this concept was easy to grasp. The videos did a great job of helping me picture the scenarios."
"The equation for magnetic fields on point chargesThe equation for magnetic fields on point charges
The rc circuit stuff
The rc time unit was interesting.
Magnetic field lines and  multiloop circuits
It's interesting how the current of an RC circuit is essentially a fraction of the original current dependant on the time constant.","It's interesting how the current of an RC circuit is essentially a fraction of the original current dependant on the time constant.
I found the magnetic field lines interesting because no matter how small they get they will always have a north and a south end.
I found the balloon tophat question most interesting about today's class because I thought too hard about it at first and once it was explained it was an “ah” moment
I really enjoyed writing the circuit equations in terms of one another and then forming differential equations. On top of already enjoying this unit, I really like this kind of math as well
I really like that magnetic field lines follow the same rules as electric field lines. I also like that magnetic monopoles haven't been discovered!"
"The multiple ways/ equations possible to find the same answer.
Velocity and acceleration and their graphs
Seeing the right hand rule explained live was very helpful and I liked the toy car demo.
I found the explanation of the average velocity and acceleration to be most intresting
Top hat","The right-hand rule was very interesting for me because it is something I've never seen in action before. I was a little confused about it during the reading, but what was talked about in class helped me to get the hang of what it's all about.
I really liked the description of the graphs between acceleration, velocity, and displacement. I've had trouble with them in the past but I feel like I have a good understanding now. 
 I found the live demonstration interesting. It is always useful to see physics happening in real life. It makes all the work seem real and obtainable. We can forget that all this math has real applications.
I really enjoyed the top hat question with the negative cosine angle, causing the dot product to be negative even though it was scalar. I go the question incorrect but I liked how it was explained and Ilearned a lot from it.
I thought the explanations of dot and cross products were interesting because they helped me understand the concepts better."
"The most interesting thing in today's lecture was how the position, velocity, and acceleration graphs relate to each other.
Break out rooms were fun and enjoyable
I like projectile motion from my high school physics class so when this video lecture began to talk about gravity and free fall, I really enjoyed it.
I found the conceptual questions that go along with free fall interesting. I like the concept of gravity being constant acceleration.
The dinosaurs (Jurassic park vibes), and the intro to group was interesting, because it gave me an idea of how things will work in the future for quizzes and tophat questions.","The dinosaur problem was most interesting. I enjoyed that it really challenged you to think about how to set the equations equal to each other and which equation to pick.
I like projectile motion from my high school physics class so when this video lecture began to talk about gravity and free fall, I really enjoyed it. 
I enjoyed the conceptual top hat questions during this lecture. These connections brought a true understanding of how kinematics work in real life (neglecting air resistance of course).
understanding and getting the majority of the problems asked in tophat correct. this means that i have some sort of a grasp and understand of the topic we're on. 
 found the breakout rooms to be the most interesting. Working as a team is always more productive as I was able to hear different approaches to solving the problem."
"There was no video lecture in class as we took the exam. The first problem on the test was a little confusing in the sense that interpreting the time we were supposed to find was difficult.
The first problem, particularly finding how the thrower and the kicker relate
We had an exam today I thought question 1 was confusing. I had trouble with it
Test was kinda hard but not bad, nice to have the ppl to help you
Exam was tough. fair. VERY tough","There was no video lecture in class as we took the exam. The first problem on the test was a little confusing in the sense that interpreting the time we were supposed to find was difficult. 
I felt like the exam was overall pretty good. This first part was a little more confusing than the second for me, although my group mateshad trouble with the second. 
Questions were very hard compared to study guide. Studied concepts but could not figure out problems.
thought question 2 was confusing because I wasn't sure what to do with the acceleration exactly because block 2 was heavier than block 1.
I guess the test, not sure if my group got it right. Otherwise great experience 7/10 would try again."
"I liked the top hat questions. I feel they are engaging and make it easier to learn material.
The explanation of the truck and baseball pitching machine question.
I thought projectile motion was interesting because I learned that vertical and horizontal motions are independent. Although the x component's velocity is constant, the y component's velocity is not.
top hat questions as they help me not zone out during class
The monkey experiment is interesting.","Definitely the monkey hunting problem. Although I was  confused by thesolution, i was really intrigued by the scenario. It was fascinatingthat the monkey fell right as the golf ball was released, and it madeimpact right before the monkey hit the ground. 
 I thought that relative motion was the most interesting, since it gives you multiple perspectives.
I thought projectile motion was interesting because I learned thatvertical and horizontal motions are independent. Although the xcomponent's velocity is constant, the y component's velocity is not.
 I liked the breakout rooms. It was interesting to hear the points of other students. 
I liked the top hat questions. I feel they are engaging and make it easier to learn material."
"the information about cold vs. hot welds.
Learning about the relationship between normal force and friction and how friction works and looks molecularly.
I found that learning how to set up the system and what masses are included is important to solving friction problems
I thought it was interesting that friction is a property that goes down to the subatomic level.
The first top hat problem with the 3 blocks and the problem with the sled being pushed and pulled. I was quite fascinated with the answers for both of these.","I thought learning about the coefficient of friction and how it's proportional to the normal force was interesting. 
 I found the description of static friction most interesting. I thinkstatic friction is more interesting than kinetic friction because whenstatic friction reaches it's maximum value, any amount of force appliedwill accelerate the object.
Dr. Nero demonstrate how to solve friction problems with 2 body diagrams set up
Learning about the relationship between normal force and friction and how friction works and looks molecularly.
I found learning about how friction was really interesting. It was coolto understand how the cold welds between two surfaces impacted friction."
"The right-hand rule and how to use coordinate plane with just x and z values (as opposed to x and y).
I found everything to be fairly straightforward during today's lecture. Graphs of derivatives confused me a bit, so maybe more time could be spent on that.
I was quite confused with the x,y,a, axis top hat question. I didnt quite understand the placement of the z axis (axis coming out/into the screen).
Everything was clear during this lecture. I had no confusion and I understood everything from the clicker questions.
i was still a little confused about the position velocity and acceleration graphs. i always get confused when interpreting them. i'll definitely go watch some youtube videos about it but it would go a little more in depth","The right hand rule because I was just a bit confused how to read it or tell when it's pointing in or out of the screen.
The position, velocity, and acceleration graphs we touched on at the endof class were a little confusing, specifically the position graph. Weonly talked about it for a little bit at the end of class so I'm surewith more practice I will be able to understand the concept a lotbetter.
How to determine if the answer to the cross product or dot product is positive or negative.
 the only thing that I would want more details in would be the way an object is 3-D on paper because i still do not get that
Some of the tophat questions lacked directions and made them hard to understand."
"The different applications of FBD to solve problems like the example of the man supporting himself on the pulley system.
We had one of the same problems with two people pulling a rope on each side and the tension in the rope is between both of their forces
drawing free body diagrams to set up equations
Top hat question where the man on the chair pulls on the rope. I thought it was an interesting real life problem to solve.
I found the top hat questions about normal force to be most interesting","The “recipe” for free body diagrams. It made drawing them a lot easier.
 Despite this being a difficult concept, i though the man pullinghimself up with a pulley was very interesting, as it shows how pulleyscan be utilized in industry 
Redefining the system to make calculations faster by calling several objects the system instead of just one
I find tension interesting. The fact that two things can way down one rope and it's the same tension fascinated me. 
I found the top hat questions about normal force to be most interesting"
"Centripetal force was confusing and we spent very little time on it
Circular force was a bit confusing when dealing with acceleration.
The most confusing part of the lecture was determining the centripetal force.
I was confused on the units for drag force
I need more clarification about why the acceleration vector points in toward the center.","What was confusing about this lecture was what forces can be considered a centripetal force.  I saw that soletimes it can be the normal force or some other force.
 I think it was tough to conceptualize some of the drag force problems. Although it's not going to be a heavy focus for the exam, I would've liked to connect more drag force problems to conceptual ideas.
 circular motion was barely even taught, especially the net force portion 
the lesson moved really fast for such a complicated topic. deriving the equations was confusing and there weren't enough examples or applications to understand the formulas
I was a little confused by the application of acceleration at an instant when terminal velocity changes. However, your explanation cleared itup. The application of multiple g's tripped me up and I got the practice problem incorrect as I forgot a g."
"The implications of carbon energy and the need to switch to new types of energy could have been covered more.
Still confused on what needs to go into the spreadsheet for A13
The most confusing part of today's class was attempting to provide evidence for why the tool/website I chose for unit conversions is reliable.  There is not a clear way to show that the tool is useful and trustworthy.
I think the participation work was very vague
I was not confused about anything","I would like more details about the A13 to be more clear so it's easier to accomplish.
The in-person activity wasn't clear on what needed to be done.
unfortunately we received our grade back for assignment A12 and we were somewhat co fused on how we did not get a higher grade.
 Also, I was confused about finding the constraints for this project.
 I think it would be helpful going a little more over the calculations for energy. I just need help deciding what units to put my calculations in."
"I was confused on whether we did assignment 19 correct or not
Nothing is confused in today's class
The practice exam not having a solution to it
I found the model part of the practice exam confusing.
The most confusing part of today's class was when bright space was not working, so it was hard to follow what we were supposed to work on and submit.","I just do not know what I missed at the beginning of class because my wifi was down
The practice exam not having a solution to it
I was confused on whether we did assignment 19 correct or not
I was a little confused as to what the next assignment due for class is.
 I was a little bit confused by how much we are supposed to complete for preliminary presentations"
"I found the video very interesting because it stressed how important it is for engineers to do many trials on products before releasing them.
The talk and examples about having a diverse engineering team was interesting and the video example was a good example of a product which did not have a large and diverse data set during development.
What we learned in Excel was really cool when we could figure out what to do.
I found learning how to create graphs to be the most interesting part, and I think the most exciting part was meeting my team.
pivot tables and my new team","The youtube video was interesting regarding why diversity is useful when creating new products
I think the Excel stuff is pretty interesting.
 I found it very interesting that all of my group members are on campus. We can all meet in person and don't have to worry about different time zones.
I think the filters and pivot tables and pivot charts seem very useful.
The diversity announcement was very intriguing. I liked how it was incorporated and how we touched upon how it relates directly to engineers."
"The breakout rooms were very interesting and fun!
I found it interesting that it is possible to calculate the power generated from water flow.
I found the mathematical models of data interesting in today's class
I found interesting the fact that aporoximating is valued in areas such as engineering
I liked learning more about the Taum Sauk Reservoir and how it works today","I thought that the mathematical modeling with perimeters Of shapes was interesting and fun 
I found that spending more time with our break out groups was helpful for working through any confusion
Finding the volume for the reservoir was interesting because we are applying our math knowledge to a real life situation
It was fun and interesting using google earth to map the surface area of the reservoir.
The time to work on A10 was helpful"
"The 3D modeling
I enjoyed Jeff's costume
how to access the cad software
How to use cad
Building prototype","This is a long project, so I like how we're looking back on what we'vedone so far. This may give us a better understanding of how we'll moveforward.
I found all of the different ways to prototype fairly interesting and how many possible sources of evidence there are.
 I found interesting how we have a 3D printing club where we couldusetheir resources for our project. Also the amounts of availablesoftwareprograms offered by Purdue.
The time to work with our teams in break out rooms
I liked Jeff's Robin costume."
"I found the conversation on preventable mistakes very important because these mistakes affect people's lives or, in extreme cases, take them.
I liked having free time to research the taum Sauk upper reservoir failure and how to address engineering failures
I thought it was interesting learning about different engineering failures.
The taum Sauk failure and other engineering failures that have occurred
It was interesting to research how the Taum Sauk reservoir broke and how much was wrong with it.","I liked seeing the different examples of engineering gone wrong
 mathematical modeling is still really interesting problem solving. 
The time spent in breakout rooms with my team are super helpful. We areable to get through a lot of project material in the given time.
Working with the power formula
I found it interesting that engineers careless mistakes caused the Taum Sauk failure."
