generation,oracle
"I found the copper wire example interesting because it was related to real world incidences of touching wires and how dangerous it can be.
Ohms law
I found it interesting that current is constant when resistors are in series.
I thought it was interesting how batteries have their own resistance inside, ajd how this resistance changes with time
I liked learning about power and barrieres, an object we use everyday, and how it works.","All of the different ways to use Ohm's Law by rearranging the equation
I thought it was nice at how easy calculating resistance was after proving with algebra that the resistors in series can just be additively calculated
I found it interesting how we are drawing circuits out. Also I found it interesting how we are starting to calculate how circuits work.
Power and how it relates to resistors
Applying physics concepts to real life applications"
"We can calculate the numeric value of complicated electrical concepts in physics.
Solving for the time it takes for electrons to move from a car battery to the starter motor and understanding that the result does not need to be a small number in order for the car to start, since there is still a lot of current flowing to the the motor.
I thought it was interesting creating the series scenarios. It's sort of engaging cresting your own picture of a circuit.
I found the parallel capacitors interesting because you are able to combine capacitors together when they are parallel to each other
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson.","I found it interesting how we are now drawing our circuits in series and parallel. Itvs interesting to see how electricity works in the real world.
How the current ""flows""through a conductor
Calculating capacitance in circuits
We can calculate the numeric value of complicated electrical concepts in physics.
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson."
"Dielectric strength of air explaining how much electric field is needed for lightning to strike
I thought that the dielectrics were very cool just because it seems like it is going beyond just math. The concept of a circuit with a battery was also interesting.
Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
The use of a switch board, batteries, and all those things are confusing but are very interesting! Also it is getting harder to write these.
How different materials change epsilon naught was interesting.","Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
Parallel plate capacitors seemed to make the most sense
I liked learning about the values of the different kinds of materials like air and paper, etc.
Applying learned concepts to a more real world situation and seeing how it works/functions
I found it interesting how we are now drawing circuits with batteries capacitors and switches and relating it to the equations we used in class."
"The integral equation. I think more examples would help
This lesson was so much clearer to understand than my high school lesson on flux. It was neat how you tied together both flux and gauss's law seamlessly. I had a really tough time last year trying to understand gauss's law.
I think that I struggled with figured out the electric flux using the integral. I also was confused on when doing the gauss' law problems how you chose the proper surface to use.
Choosing a Gaussian surface. I had trouble answering the last question on concept Quiz for gauss law.
I thought that the explanation with the last practice problem was kind of confusing. I still am not sure what the total induced charge is.","In the example problem, you would pull numbers and I was not sure where the numbers would be from. Could you be more clear on where these numbers would be coming from in class?
Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out.
I found the whole concept of flux very unclear. I didn't really grasp it on the fundamental level and the mathematical interpretation of the concept doesn't make sense to me.
I was confused how to calculate the direction of the area vector.
The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell."
"I found it most interesting that when E is a constant, it can be pulled out of the integration and all that's left is area.
The faraday cage video was really interesting.
I found GaussIan surfaces pretty interesting since you can draw a shape and then make solving Gauss' law easier to solve.
conductors
I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance.","I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance.
I found Faraday cages cancelling out external electric fields very interesting. It was also neat how the internal cap of a cylinder imbedded in a conductor has no flux, but the external end does.
I found Gauss's Law interesting based on the fact that it can simplify a very difficult problem
I thought it was interesting how we can prove the equation for E is correct by doing some math.
I found it interesting that an electric field can flow through a surface. I also found it interesting that you can calculate the charge enclosed in an area"
"The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
Overall, today's class was really good! I thought that each tophat question was well explained. I was a little confused with some of the math steps you took in simplifying, because you never showed any conversions, but the whole concept was clear.
What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb.
The uses for coulombs law in specific
n/a","In today's class the Shell theorem was very confusing to me. I did not understand how it works.
What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb.
I thought that everything was very clear, however I felt that some of the time given for the TopHat questions was insufficient. There were multiple times where I scrambled to put in an answer that ended up being wrong because I was one or two steps away from the right answer but didn't have time to finish the problem.
The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
I think the example pertaining to the charges arranged in a square was a little confusing. Particularly deriving the r value."
"The thing that I found most interesting in today's lecture was the practice problem that required us to find the second force acting on the object.
The tug of rope scenario. This was interesting because the tension between the two pullers depends on both not just the stronger one.
I found how tension is the same in the whole rope to be interesting.
How the wrench in the spaceship keeps moving in the same direction as long as nothing acts upon it. All the problems that went along with the wrench
I liked the alien and spaceship top hat question that depends on your reference and how it can relate to being in a car.","I found most of the top hat questions interesting and I feel like they help solidify the concepts that we are going over 
 I found the tension problems to be the most interesting because I was able to understand them more after the lecture. 
 I found inertial reference frames most interesting in this lecture and how they compare to non inertial reference frames.
free body diagrams make sense to me because it is easy to draw the lines and i am familiar with them already
I found Newton's first law very interesting. Being able to apply real life experiences such as car travel to physics is fun."
"nothing was confusing
I didn't find anything confusing
How to calculate payback periods was a little confusing at first with the different things in the fraction but then I understood it.
I think that today's class was well explained and very clear. I think my group is struggling due to a group member missing class this week.
The 3 year payback yield section is confusing in A13.","Some of the requirements on the A13 pdf were a little confusingattimes. I was confused on what information I needed and where to putit. ATA was very helpful in explaining what I needed to do.
I do not know how to compute the three year pay back period for Assignment 13.
The most confusing part was calculating coal co2 emissions.
The equation presented was confusing and could have been explained a little more 
 Capital investment equation when do we know when to leave out certain numbers"
"I found it interesting how we'll be getting a lot of info from engineering schools that we didn't even declare for.
Identifying the correct chart to use based on data sets
I found the career exploration zoom thing really interesting and feel like it will help me chose my field!
I think that the professors and PTs did a good job explaining the projects and the due dates.
The table showing which graph to use","The most interesting thing in todays class was learning more about what charts are the most appropriate during certain situations.
The opportunity to learn about other engineering careers was interesting 
Getting to know my engineering team on a better basis was definitely the most interesting part of class. Spending more time in breakout rooms would be helpful.
 I felt like I really learned a lot in class today, especially what makes a good client statement.
 I found interesting/important how the professor explained things on bright space and upcoming due dates."
"Overall today's class was very smooth and helpful. I did not think anything was confusing or needed more details. The instructions were very straightforward.
I didn't find the class today confusing. Everything was explained specifically and helpfully. I found the class to be interactive and helped me to understand what will be required to succeed in the class.
Everything was clear in today's lecture. Instructions were clear, explanations were clear as well.
The only problem was accessing CourseMIRROR.
I would have liked to know more about how the projects would generally work, especially in this new environment. I also would have liked more information on our upcoming assignments because, at least to me, I felt I was dropped into a situation of researching a company and going through their data without any idea of how to do it properly because this would be my first time attempting anything like this, especially without prior instruction and/or examples to guide me or at the very least tell me how I can do something “right”.","I'm still a little confused about when assignments are due and what we are responsible for before next class?
The schedule and process that each class is going to follow. Its confusing how we will go between activities and work time.
The question about drawing an engineer in ten years. It was a very vague question that gave little direction 
The only problem was accessing CourseMIRROR
Brightspace is a little hard to navigate when searching for due dates and assignments"
