generation,oracle
" I liked learning about power and barrieres, an object we use everyday, and how it works. 
 Circuit analysis 
 All of the different ways to use Ohm's Law by rearranging the equation 
 I found the practice problems most interesting because we went in depth with problem solving and I feel like it well help me prepare for the exam 
 I thought it was interesting how batteries have their own resistance inside, ajd how this resistance changes with time ","All of the different ways to use Ohm's Law by rearranging the equation
I thought it was nice at how easy calculating resistance was after proving with algebra that the resistors in series can just be additively calculated
I found it interesting how we are drawing circuits out. Also I found it interesting how we are starting to calculate how circuits work.
Power and how it relates to resistors
Applying physics concepts to real life applications"
" Resistivity of uniform wire 
 Drift velocity and current resistance 
 I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson. 
 How the current ""flows""through a conductor 
 I found the parallel capacitors interesting because you are able to combine capacitors together when they are parallel to each other ","I found it interesting how we are now drawing our circuits in series and parallel. Itvs interesting to see how electricity works in the real world.
How the current ""flows""through a conductor
Calculating capacitance in circuits
We can calculate the numeric value of complicated electrical concepts in physics.
I thought the example about the lightning bolt hitting the water was really cool. I also thought that the difference the current flows through saltwater and freshwater was interesting, even though it wasn't supposed to be part of our lesson."
" Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with. 
 How different materials change epsilon naught was interesting. 
 I liked learning about the values of the different kinds of materials like air and paper, etc. 
 I found it interesting that dielectrics can change capacitance. 
 Parallel plate capacitors seemed to make the most sense ","Dielectrics were interesting. Especially the physics of weaker dielectrics creating a dipole moment within the atoms despite it obviously having less forces to work with.
Parallel plate capacitors seemed to make the most sense
I liked learning about the values of the different kinds of materials like air and paper, etc.
Applying learned concepts to a more real world situation and seeing how it works/functions
I found it interesting how we are now drawing circuits with batteries capacitors and switches and relating it to the equations we used in class."
" I think the most confusing thing for me was visualizing the electric flux, specifically how you can tell the flux based on the amount of field lines 
 More explanation about isolated conductors and Gauss' Law would be helpful especially determine the charge. 
 Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out. 
 The way the magnitude is multiplied by two or is zero based off of arrows in problems. 
 Maybe more into detail reg the choosing of Gaussian surface? ","In the example problem, you would pull numbers and I was not sure where the numbers would be from. Could you be more clear on where these numbers would be coming from in class?
Choosing a Gaussian surface. I'm still not sure what types/orientations of surfaces produce symmetry that allow certain components to cancel out.
I found the whole concept of flux very unclear. I didn't really grasp it on the fundamental level and the mathematical interpretation of the concept doesn't make sense to me.
I was confused how to calculate the direction of the area vector.
The part that confused me the most was when we were looking at a conductor and an insulator and trying to figure out the electric field value of each shell."
" How we can use field lines to determine the charge of a surface 
 Flux and field lines with Gaussian 
 I found it interesting that an electric field can flow through a surface. I also found it interesting that you can calculate the charge enclosed in an area 
 I found out that Gauss's law is just flux over an imaginary shape, like a potato. I think this helped clear up much of my confusion. 
 I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance. ","I really like the flux topic. The concept questions about these were something that I found relatively easy to answer after watching the lecture videos in advance.
I found Faraday cages cancelling out external electric fields very interesting. It was also neat how the internal cap of a cylinder imbedded in a conductor has no flux, but the external end does.
I found Gauss's Law interesting based on the fact that it can simplify a very difficult problem
I thought it was interesting how we can prove the equation for E is correct by doing some math.
I found it interesting that an electric field can flow through a surface. I also found it interesting that you can calculate the charge enclosed in an area"
" Much was very thorough and clear. I had some issues understanding the diagrams at first, not sure why. Seems a few others were confused with how to interpret the diagram as well. Nevertheless, it was a good self problem solving period. and when the prof explained, it was clear and well executed. I understood more being confused and then being enlightened and shown how the diagram was supposed to represent the particles and their charges. furthermore, after the first diagram it seemed like I felt I was absorbing s a lotmore from the concepts you were trying to get through to us. 
 I was a bit confused with the concept question on tophat about the ratio of charges, but after explaining, it made more sense. 
 I thought some of the problems we did in class were confusing. I did end up finding the right answers but I think the explanation in class could've been more in-depth. 
 What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb. 
 The uses for coulombs law in specific ","In today's class the Shell theorem was very confusing to me. I did not understand how it works.
What I found unclear was the lightbulb lighting up due to the work done by the professor. It was stated that the work done caused the lightbulb to light up and the electrons moving into the lightbulb.
I thought that everything was very clear, however I felt that some of the time given for the TopHat questions was insufficient. There were multiple times where I scrambled to put in an answer that ended up being wrong because I was one or two steps away from the right answer but didn't have time to finish the problem.
The idea of grounding was unclear to me. I did not understand how charge can be left over in a particle after it has been grounded.
I think the example pertaining to the charges arranged in a square was a little confusing. Particularly deriving the r value."
" I found the tension problems to be the most interesting because I was able to understand them more after the lecture. 
 I thought some the practice problems were great today, they were a perfect pretty challenging. I also thought that there were some funny comments made during lecture just about the subject and it kep me engaged 
 Top hot conceptual questions 
 what was most interesting was the examples that we had in class. they were helpful 
 I thought it was cool that as long as the pulley is frictionless, it doesn't affect tension. ","I found most of the top hat questions interesting and I feel like they help solidify the concepts that we are going over 
 I found the tension problems to be the most interesting because I was able to understand them more after the lecture. 
 I found inertial reference frames most interesting in this lecture and how they compare to non inertial reference frames.
free body diagrams make sense to me because it is easy to draw the lines and i am familiar with them already
I found Newton's first law very interesting. Being able to apply real life experiences such as car travel to physics is fun."
" The most confusing part of today's class was trying to determine CO2 emissions and natural gas for the library.  Trying the determine the amount of coal required to produce enough energy was confusing as there are multiple conversions you need to do before you get to the right value. 
 Nothing was really covered a whole lot. The idea of capital investment was new, and i thought we would compare it to whether it would be more efficient than the alternative option. 
 It was a little confusing how to calculate the payback time, but after the example problem I understood it! 
 Everything was clear. 
 nothing ","Some of the requirements on the A13 pdf were a little confusingattimes. I was confused on what information I needed and where to putit. ATA was very helpful in explaining what I needed to do.
I do not know how to compute the three year pay back period for Assignment 13.
The most confusing part was calculating coal co2 emissions.
The equation presented was confusing and could have been explained a little more 
 Capital investment equation when do we know when to leave out certain numbers"
" I found the scatter plots interesting. Working with excel is a helpful process that is being pushed onto us in a very consistent and assisting manner. 
 I found it interesting how we'll be getting a lot of info from engineering schools that we didn't even declare for. 
 The table showing which graph to use 
 I felt as though getting to decide what branch of engineering we will be attention going to enter was pretty cool. 
 Seeing which types of plots were used for different sets of data was interesting. ","The most interesting thing in todays class was learning more about what charts are the most appropriate during certain situations.
The opportunity to learn about other engineering careers was interesting 
Getting to know my engineering team on a better basis was definitely the most interesting part of class. Spending more time in breakout rooms would be helpful.
 I felt like I really learned a lot in class today, especially what makes a good client statement.
 I found interesting/important how the professor explained things on bright space and upcoming due dates."
" I didn't find the class today confusing. Everything was explained specifically and helpfully. I found the class to be interactive and helped me to understand what will be required to succeed in the class. 
 Overall, the presentation was easy to follow and I gained a good grasp of what the class entails.  I would say the only confusing part was what work we needed to get done for the next class. 
 The question about drawing an engineer in ten years. It was a very vague question that gave little direction 
 I think that the call was very smooth, and the breakout sessions made sense. There really wasn't anything that I found terribly confusing. The only thing I can think of would be how the different projects and quizzes will work, but other than that, I feel it went very well. 
 Everything was clear in today's lecture. Instructions were clear, explanations were clear as well. ","I'm still a little confused about when assignments are due and what we are responsible for before next class?
The schedule and process that each class is going to follow. Its confusing how we will go between activities and work time.
The question about drawing an engineer in ten years. It was a very vague question that gave little direction 
The only problem was accessing CourseMIRROR
Brightspace is a little hard to navigate when searching for due dates and assignments"
" I found the time being able to work on the Assignment with my group to be the most helpful and interesting. It is super helpful to have time to work on the project while everyone is in the class and motivated to work on the Assignment. 
 The differences in expert and amateur engineering design products 
 I thought the in class activity was interesting 
 I think the fact that we are coming up with a solution that could improve campus is interesting because of how relevant it is to us as students. 
 The different roles of problem scoping and how it helps engineers when finding solutions to problems was very interesting. ","I found the time being able to work on the Assignment with my group to be the most helpful and interesting.
 I like the design process a lot more than tables and calculation.
I really enjoyed the project prompt that we were given because I thought there are some really interesting ways to solve the problem
I found the problem scoping part to be most interesting as I understand now how useful it is to engineering.
I think the fact that we are coming up with a solution that could improve campus is interesting because of how relevant it is to us as students."
" I wasn't really confused about anything 
 I thought that learning about the types of the charts was a bit confusing. The examples were pretty easy but then looking at the homework it seems more difficult. 
 Nothing confusing 
 It seems like the main goal of the bike share project, and especially the smaller assignments due next week, were all brushed over with minimal instruction. 
 It would be cool to use the raise hand tool to ask questions while in the slides, and that the participants tab is constantly being looked ","The slides on the career exploration was a little confusing
Exactly where assignments need to be submitted was a little confusing, as well as the naming scheme for certain assignments.
 The only thing that maybe could use more clarification is how andwherewe will be signing up for the engineering discipline classes
Why we use line plots over scatter plots
It's a little confusing navigating Brightspace to find everything."
" I found our footprint to be most interesting because it is crazy to think that we use that much energy as an individual. 
 I found my environmental footprint interesting. 
 Solar panel specs 
 I thought that the carbon footprint calculator was very interesting. 
 The most interesting part of today's class was using a website/survey to figure out your own carbon footprint. It was interesting learning how much damage we are each doing individually to our environment.  Hopefully through engineering we will reduce our carbon emissions. ","I thought that the most interesting thing in today's class was figuring out your carbon footprint. I did not know it before today and so thought it was nice to learn about.
The most interesting part of class was working through assignment 13 with my group.
 I found it very interesting that we got to find the amount of CO2 that our cars emit, it's nice to know what impact we have on theenvironment 
 I enjoyed the long amounts of time we had to work as a team on the assignment
I found the many ways to view trade-offs and the different ethical points that need to be considered to be the most interesting part of today's class."
